subdomain,ip,provider,detail
149104.ofas.uci.edu,128.200.149.104,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149105.ofas.uci.edu,128.200.149.105,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149103.ofas.uci.edu,128.200.149.103,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149107.ofas.uci.edu,128.200.149.107,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149102.ofas.uci.edu,128.200.149.102,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149106.ofas.uci.edu,128.200.149.106,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149109.ofas.uci.edu,128.200.149.109,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149110.ofas.uci.edu,128.200.149.110,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149108.ofas.uci.edu,128.200.149.108,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149113.ofas.uci.edu,128.200.149.113,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149115.ofas.uci.edu,128.200.149.115,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149116.ofas.uci.edu,128.200.149.116,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149118.ofas.uci.edu,128.200.149.118,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149117.ofas.uci.edu,128.200.149.117,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149120.ofas.uci.edu,128.200.149.120,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149119.ofas.uci.edu,128.200.149.119,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
150067.rgs.uci.edu,128.200.150.67,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149122.ofas.uci.edu,128.200.149.122,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149123.ofas.uci.edu,128.200.149.123,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
150068.rgs.uci.edu,128.200.150.68,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149126.ofas.uci.edu,128.200.149.126,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149125.ofas.uci.edu,128.200.149.125,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
150066.rgs.uci.edu,128.200.150.66,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156002.rgs.uci.edu,128.200.156.2,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156018.rgs.uci.edu,128.200.156.18,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156011.rgs.uci.edu,128.200.156.11,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156003.rgs.uci.edu,128.200.156.3,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
150070.rgs.uci.edu,128.200.150.70,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156029.rgs.uci.edu,128.200.156.29,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156010.rgs.uci.edu,128.200.156.10,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156012.rgs.uci.edu,128.200.156.12,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156024.rgs.uci.edu,128.200.156.24,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156032.rgs.uci.edu,128.200.156.32,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156008.rgs.uci.edu,128.200.156.8,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156005.rgs.uci.edu,128.200.156.5,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156013.rgs.uci.edu,128.200.156.13,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156030.rgs.uci.edu,128.200.156.30,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156017.rgs.uci.edu,128.200.156.17,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156015.rgs.uci.edu,128.200.156.15,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156009.rgs.uci.edu,128.200.156.9,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156014.rgs.uci.edu,128.200.156.14,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
152b.ps.uci.edu,128.200.166.119,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
150069.rgs.uci.edu,128.200.150.69,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156007.rgs.uci.edu,128.200.156.7,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156028.rgs.uci.edu,128.200.156.28,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156016.rgs.uci.edu,128.200.156.16,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156021.rgs.uci.edu,128.200.156.21,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156020.rgs.uci.edu,128.200.156.20,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156026.rgs.uci.edu,128.200.156.26,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156006.rgs.uci.edu,128.200.156.6,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156027.rgs.uci.edu,128.200.156.27,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156022.rgs.uci.edu,128.200.156.22,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156019.rgs.uci.edu,128.200.156.19,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156034.rgs.uci.edu,128.200.156.34,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156023.rgs.uci.edu,128.200.156.23,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156004.rgs.uci.edu,128.200.156.4,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156031.rgs.uci.edu,128.200.156.31,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156033.rgs.uci.edu,128.200.156.33,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156025.rgs.uci.edu,128.200.156.25,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156036.rgs.uci.edu,128.200.156.36,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156035.rgs.uci.edu,128.200.156.35,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156037.rgs.uci.edu,128.200.156.37,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156038.rgs.uci.edu,128.200.156.38,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156041.rgs.uci.edu,128.200.156.41,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156040.rgs.uci.edu,128.200.156.40,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156042.rgs.uci.edu,128.200.156.42,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156043.rgs.uci.edu,128.200.156.43,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156044.rgs.uci.edu,128.200.156.44,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156045.rgs.uci.edu,128.200.156.45,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156046.rgs.uci.edu,128.200.156.46,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
156047.rgs.uci.edu,128.200.156.47,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
