subdomain,ip,provider,detail
www.law.uci.edu,184.34.145.67,AWS,AMAZON/us-west-2
www.law.uci.edu,35.160.245.54,AWS,AMAZON/us-west-2
www.latinx.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.latinx.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.latinx.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.kotterbo.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.leadher.socsci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.leadher.socsci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.ldi.merage.uci.edu,34.149.87.45,GCP,Google Cloud/global
www.lib.uci.edu,44.246.154.158,AWS,AMAZON/us-west-2
www.lib.uci.edu,52.33.98.203,AWS,AMAZON/us-west-2
www.laurenhanks.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.lgbtrc.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.lgbtrc.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lgbtrc.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.lee.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lee.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.lee.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.lawnet.uci.edu,142.251.215.83,GCP,"AS15169 GOOGLE - Google LLC, US"
www.lifted.uci.edu,34.215.37.29,AWS,AMAZON/us-west-2
www.lifted.uci.edu,34.216.237.15,AWS,AMAZON/us-west-2
www.lee-cemi-lab.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.lee-cemi-lab.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.lee-cemi-lab.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.liferesources.uci.edu,35.80.145.4,AWS,AMAZON/us-west-2
www.longinstitute.uci.edu,44.239.190.119,AWS,AMAZON/us-west-2
www.longinstitute.uci.edu,100.22.134.189,AWS,AMAZON/us-west-2
www.longevity.uci.edu,23.185.0.2,Fastly,"AS54113 FASTLY - Fastly, Inc., US"
www.imagine.hs.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.imagine.hs.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.imagine.hs.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lin.hs.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.lin.hs.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lin.hs.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.loudonlab.bio.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.loudonlab.bio.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.loudonlab.bio.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.livablecitieslab.socialecology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.livablecitieslab.socialecology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.livablecitieslab.socialecology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lps.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.lps.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.mcbrown.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.lvaslab.education.uci.edu,34.149.87.45,GCP,Google Cloud/global
www.lopour.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lopour.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.lopour.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.icts.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.icts.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.icts.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.madlab.socsci.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.madlab.socsci.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.madlab.socsci.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.imaging.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.imaging.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.imaging.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.maggior.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.manufacturing.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
