url,status,server,title
https://assembly.cohs.uci.edu,200,openresty,College of Health Sciences Faculty Assembly
https://athinagroup.eng.uci.edu,200,openresty,AthinaGroup
http://autodiscover.ad.uci.edu,301,Microsoft-IIS/10.0,
https://autismsensorytherapy.bio.uci.edu,200,openresty,Sensory Enrichment Therapy for Autism
http://autodiscover.apep.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.arts.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.ce.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.calit2.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.dailycey.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.chs.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.chs-exch1.chs.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.danielle.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.cleanenergy.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.dss-test.sandbox.lib.uci.edu,302,Apache,302 Found
https://autodiscover.fenai.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.exchange.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.fernandoosorio.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.exchangetest.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.extension.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.gsm.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.grad.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.health.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.housing.hsg.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.hsg.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.hs.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.kehan.sandbox.lib.uci.edu,302,Apache,302 Found
https://autodiscover.jennalynn.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.ilass.uci.edu,301,Microsoft-IIS/10.0,
https://apps.athletics.uci.edu,403,Apache,Test Page for the Apache HTTP Server
http://autodiscover.icha.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.ncarp.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.longinstitute.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.law.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.merage.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.nfcrc.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.plampron.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.parcon.uci.edu,301,Microsoft-IIS/10.0,
https://autodiscover.scole.sandbox.lib.uci.edu,302,Apache,302 Found
http://autodiscover.pts.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.rgs.uci.edu,301,Microsoft-IIS/10.0,
http://autodiscover.research.uci.edu,301,Microsoft-IIS/10.0,
